ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_sl-SI
UiSchema	IDDQuestionnaireMotor	ui-label	Q12_01	Q12_01	Ali želite skleniti asistenco z vključenim nadomestnim vozilom nad 5 dni?	Ali želite skleniti asistenco z vključenim nadomestnim vozilom nad 5 dni?
UiSchema	IDDQuestionnaireMotor	ui-label	Q13	Q13	Ali potrebujete zavarovanje voznikov in potnikov pri upravljanju in vožnji z motornimi vozili in drugimi prevoznimi sredstvi za primer telesnih poškodb ali smrti?	Ali potrebujete zavarovanje voznikov in potnikov pri upravljanju in vožnji z motornimi vozili in drugimi prevoznimi sredstvi za primer telesnih poškodb ali smrti?
UiSchema	IDDQuestionnaireMotor	ui-label	Q13_01	Q13_01	Ali želite skleniti nezgodno zavarovanje voznikov in potnikov?	Ali želite skleniti nezgodno zavarovanje voznikov in potnikov?
UiSchema	IDDQuestionnaireMotor	ui-label	Q14	Q14	Ali potrebujete kritje stroškov obrambe v kazenskih ali prekrškovnih postopkih če bi le-ti nastali z uporabo zavarovanega vozila?	Ali potrebujete kritje stroškov obrambe v kazenskih ali prekrškovnih postopkih če bi le-ti nastali z uporabo zavarovanega vozila?
UiSchema	IDDQuestionnaireMotor	ui-label	Q14_01	Q14_01	Ali želite skleniti zavarovanje pravne zaščite zaradi uporabe vozila?	Ali želite skleniti zavarovanje pravne zaščite zaradi uporabe vozila?
UiSchema	IDDQuestionnaireMotor	ui-label	Q15	Q15	Ali želite v primeru nezgode z znanim povzročiteljem, škodo uveljavljati na zavarovalnici Triglav?	Ali želite v primeru nezgode z znanim povzročiteljem, škodo uveljavljati na zavarovalnici Triglav?
UiSchema	IDDQuestionnaireMotor	ui-label	Q15_01	Q15_01	Ali želite skleniti zavarovanje avtomobilske in pravne zaščite?	Ali želite skleniti zavarovanje avtomobilske in pravne zaščite?
UiSchema	IDDQuestionnaireMotor	ui-label	Q16	Q16	Bi želeli kritje stroškov zahtevne diagnostike, ambulantne rehabilitacije, zdraviliškega zdravljenja, psihološke pomoči in zobnoprotetične rehabilitacije v primeru nesreče z vozilom ali drugim prevoznim sredstvom?	Bi želeli kritje stroškov zahtevne diagnostike, ambulantne rehabilitacije, zdraviliškega zdravljenja, psihološke pomoči in zobnoprotetične rehabilitacije v primeru nesreče z vozilom ali drugim prevoznim sredstvom?
UiSchema	IDDQuestionnaireMotor	ui-label	Q16_01	Q16_01	Želite skleniti zavarovanje Rehabilitacija - Promet?	Želite skleniti zavarovanje Rehabilitacija - Promet?
UiSchema	IDDQuestionnaireMotor	ui-label	Q17	Q17	Ali ste za nakup vozila dogovorili posojilo ali najem (kredit, finančni / operativni leasing, poslovni najem) in bi v primeru popolne škode na vozilu ali tatvine vozila ponovni nakup / najem vozila vplival na vašo finančno varnost?	Ali ste za nakup vozila dogovorili posojilo ali najem (kredit, finančni / operativni leasing, poslovni najem) in bi v primeru popolne škode na vozilu ali tatvine vozila ponovni nakup / najem vozila vplival na vašo finančno varnost?
UiSchema	IDDQuestionnaireMotor	ui-label	Q17_01	Q17_01	Želite skleniti zavarovanje, ki v primeru popolne škode ali tatvine vozila krije del vaše finančne izgube - GAP?	Želite skleniti zavarovanje, ki v primeru popolne škode ali tatvine vozila krije del vaše finančne izgube - GAP?
Rule	IDDQuestionnaireMotorIddValidations	rule	validation@MissingAnswer	IddValidations	Please answer	Prosimo odgovorite
UiSchema	IDDQuestionnaireMotor	ui-label	Skip Quesitonnaire	Skip Quesitonnaire	User refuses to answer the questionnaire	Stranka ne želi odgovoriti na vprašalnik
